categoria,pregunta,respuesta,area_responsable,documento_relacionado,palabras_clave
Onboarding,¿Qué documentos debo leer durante mi primera semana?,"Debes revisar el Manual de Bienvenida y Onboarding, la Política de Seguridad y Protección de Datos, la Metodología para la Gestión de Proyectos y la Política de Calidad. Tu líder puede asignarte documentos adicionales según tu rol.",Recursos Humanos,Manual de Bienvenida y Onboarding,"onboarding,documentos,primera semana"
Onboarding,¿Quién me acompaña durante el onboarding?,"Durante tu incorporación contarás con una persona líder, un buddy de acompañamiento y el apoyo de Recursos Humanos y Soporte Técnico.",Recursos Humanos,Manual de Bienvenida y Onboarding,"buddy,líder,acompañamiento"
Onboarding,¿Qué se espera de mí durante los primeros días?,"Se espera que conozcas la empresa, actives tus accesos, completes las capacitaciones obligatorias, hagas preguntas y realices una primera tarea guiada. No se espera que trabajes a máxima velocidad desde el primer día.",Recursos Humanos,Manual de Bienvenida y Onboarding,"primeros días,expectativas,tarea guiada"
Onboarding,¿Qué debo hacer si no recibí todos mis accesos?,"Comunícalo a tu líder y registra una solicitud en la Mesa de Soporte indicando tu rol, las herramientas faltantes y la fecha en que las necesitas.",Tecnología y Soporte,Manual de Herramientas Tecnológicas,"accesos faltantes,soporte,onboarding"
Onboarding,¿Cuál es el propósito de NexoData Consulting?,"NexoData busca conectar datos, personas y tecnología para crear soluciones que transformen realidades y ayuden a las organizaciones a tomar mejores decisiones.",Dirección General,Manual de Bienvenida y Onboarding,"propósito,empresa,identidad"
Onboarding,¿Cuáles son los valores de la empresa?,"Los valores principales son impacto con propósito, innovación, calidad, ética, seguridad, colaboración, transparencia, aprendizaje continuo, humanidad y orientación al cliente.",Recursos Humanos,Manual de Bienvenida y Onboarding,"valores,cultura,empresa"
Onboarding,¿Qué servicios ofrece NexoData?,"NexoData ofrece análisis de datos, Business Intelligence, automatización de procesos e inteligencia artificial.",Consultoría y Gestión de Proyectos,Catálogo de Servicios Corporativos,"servicios,análisis,bi,automatización,ia"
Onboarding,¿Qué hago si tengo dudas sobre mi rol?,Habla primero con tu líder o buddy. También puedes consultar el Manual de Bienvenida y la estructura organizacional para entender responsabilidades y áreas relacionadas.,Recursos Humanos,Manual de Bienvenida y Onboarding,"rol,dudas,buddy"
Horarios y modalidad,¿Cuál es el horario de referencia?,"El horario de referencia es de lunes a viernes, de 08:30 a 17:30, con una hora de descanso. Puede ajustarse según el proyecto y las reuniones previamente coordinadas.",Recursos Humanos,Manual de Bienvenida y Onboarding,"horario,jornada,trabajo"
Horarios y modalidad,¿La modalidad de trabajo es presencial o remota?,"La modalidad general es híbrida y flexible, de acuerdo con las necesidades del proyecto y del equipo.",Recursos Humanos,Manual de Bienvenida y Onboarding,"híbrido,remoto,presencial"
Horarios y modalidad,¿Puedo trabajar desde cualquier lugar?,"El trabajo remoto debe realizarse desde un espacio seguro, con conexión estable y usando cuentas y dispositivos autorizados. Evita lugares públicos cuando manejes información sensible.",Seguridad de la Información,Política de Seguridad y Protección de Datos,"trabajo remoto,seguridad,ubicación"
Horarios y modalidad,¿Qué hago si debo ausentarme durante el horario laboral?,Debes avisar a tu líder con anticipación y seguir el procedimiento interno de permisos. También debes asegurar que las tareas urgentes queden cubiertas.,Recursos Humanos,Manual de Bienvenida y Onboarding,"ausencia,permiso,horario"
Vacaciones y permisos,¿Cómo solicito vacaciones?,Solicita las vacaciones por el canal definido por Recursos Humanos y coordina las fechas con tu líder. Debes dejar organizadas tus tareas y comunicar cualquier entrega que pueda verse afectada.,Recursos Humanos,Manual de Bienvenida y Onboarding,"vacaciones,solicitud,rrhh"
Vacaciones y permisos,¿Puedo tomar vacaciones sin aprobación?,No. Las fechas deben ser aprobadas por tu líder y registradas por Recursos Humanos antes de ausentarte.,Recursos Humanos,Manual de Bienvenida y Onboarding,"vacaciones,aprobación"
Vacaciones y permisos,¿Cómo solicito un permiso personal?,"Informa a tu líder y registra la solicitud según el procedimiento de Recursos Humanos. Indica la fecha, duración y cualquier impacto sobre tus tareas.",Recursos Humanos,Manual de Bienvenida y Onboarding,"permiso personal,solicitud"
Vacaciones y permisos,¿Qué hago si tengo una emergencia y no puedo avisar con anticipación?,Comunícate tan pronto como sea posible con tu líder o Recursos Humanos y explica la situación. La prioridad es tu seguridad; después se regularizará el registro correspondiente.,Recursos Humanos,Manual de Bienvenida y Onboarding,"emergencia,ausencia,rrhh"
Herramientas tecnológicas,¿Qué herramienta usamos para crear dashboards?,Power BI es la herramienta principal para dashboards corporativos. Tableau también puede utilizarse cuando exista licencia y aprobación.,Business Intelligence,Manual de Herramientas Tecnológicas,"dashboard,power bi,tableau"
Herramientas tecnológicas,¿Qué herramienta usamos para análisis estadístico?,"Python y R están aprobados para análisis estadístico, modelado y visualización. La elección depende del proyecto y del equipo.",Análisis de Datos,Manual de Herramientas Tecnológicas,"python,r,estadística"
Herramientas tecnológicas,¿Qué herramienta usamos para gestionar código?,"GitHub es la herramienta aprobada para repositorios, historial de cambios, pull requests e incidencias técnicas.",Tecnología,Manual de Herramientas Tecnológicas,"github,código,repositorio"
